"","Author","Year","Study","Project.Name","Type.of.Study","Duration.of.follow.up","Country.of.collection","Date.of.collection","Sample.Size_included..N..","N_PT","N_HC","Age_Total_mean","Age_Total_sd","Age_PT_mean","Age_PT_sd","Age_HC_mean","Age_HC_sd","Onset_Age_mean","Onset_Age_sd","N_Total_Male","N_Total_Female","N_PT_Male","N_PT_.Female","N_HC_Male","N_HC_.Female","Psychosis.Measure","Psychosis.Construct","Dimensional..Diagnostic.Outcome","Trauma.Measure","Trauma.Construct","with.total.trauma.info..Y.N.","HC.Status.Measure","LogOR","LogOR_LCI","LogOR_UCI","only_subgroup_analysis","Design","CT.VS.NO.CT","adjusted.age..Y.N.","adjusted.gender..Y.N.","QA_scores","QA_Rating","compution_effect_size","Country_level","sum_gender","Age_level","Male_ratio","Q_or_Int","Adj","vi","Trauma"
"105","Varese et al.","2012","Dissociation mediates the relationship between childhood trauma and hallucination-proneness",NA,"Case-control",NA,"UK",NA,65,"45",20,"43.05",13.21,"44.63","12.56","39.5","14.6",NA,NA,35,30,24,21,11,9,"Clin, PANSS","SCZ, SAD, delusional disorder","Diagnostic","CATS","CT, PA, SA, EA, NG","Y","No history of hallucinations",1.66464932097765,0.667324116750297,2.66197415039237,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",1,"65",1,"0.538461538",1,"Unadjusted",0.258917427420106,"EA"
"106","Misiak et al.","2015","Lower LINE-1 methylation in first-episode schizophrenia patients with the history of childhood trauma",NA,"Case-control",NA,"Poland",NA,96,"48",48,"26",4.14,"25.92","5.16","26.08","2.76",NA,NA,44,52,21,27,23,25,"DSM-IV, ICD-10","SCZ","Diagnostic","ETISR-SF","CT, PA, EA, SA","Y","without psychiatric disorder, and matched",1.41147539100048,0.65883985691478,2.16411087614437,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",2,"96",1,"0.458333333",1,"Unadjusted",0.147454240507372,"EA"
"107","Arranz et al.","2018","The relationship between the level of exposure to stress factors and cannabis in recent onset psychosis","EIP, The Early Psychosis Program","Cohort study","3 years","Spain",NA,207,"146",61,"range: 18-35",NA,NA,NA,NA,NA,NA,NA,126,81,94,52,32,29,"DSM-IV","ROP","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","Screening for current and past psychotic experiences, mental retardation, substance abuse, severe neurological injury and/or head injury, and pregnancy.",1.30562645805244,0.609765571620894,1.99877363861238,"N","Case-control",NA,"N","N",7,"Good","OR",1,"207",1,"0.608695652",1,"Unadjusted",0.125555979941133,"EA"
"108","LoPilato et al.","2019","Impact of childhood adversity on corticolimbic volumes in youth at clinical high-risk psychosis clinical high-risk for psychosis","NAPLS-2","Case-control",NA,"USA","2009 - 2011",702,"486",216,NA,NA,"18.85","4.2","20.07","4.6",NA,NA,401,301,289,197,112,104,"SIPS high risk status for psychotic symptoms","PEs","Dimensional","Documentation of Trauma Form, a semi-structured interview","CT, PA, EA, EN, SA, BUL, PS","Y","no risk and no psychotic symptoms after screening",2.46809953147162,1.80664808172181,3.12895111734021,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"702",1,"0.571225071",2,"Unadjusted",0.113786268612405,"EA"
"109","Barry et al.","2021","Early life adversity and the specificity of autobiographical memory amongst people with schizophrenia",NA,"Case-control",NA,"Multiple countries","2021",120,"79",41,"42.29",12.62,"44.62","12.74","37.8","12.38","24.05",8.6,NA,NA,NA,NA,NA,NA,"DSM-IV","SCZ","Diagnostic","MACE","CT, PA, EA, EN, SA, PN, BUL","Y","no history of schizophrenia",1.78842056796254,1.0681530811834,2.50959926237837,"N","Case-control","N","N","N",6,"Fair","Mean_SD",1,"#VALUE!",1,NA,1,"Unadjusted",0.135214955570697,"EA"
"110","Mwesiga et al.","2021","Comparison of antipsychotic na<U+00EF>ve first-episode psychosis patients and healthy controls in Uganda",NA,"Case-control",NA,"Uganda",NA,280,"198",82,"29.4",9,"29.1","8.8","30.2","9.4",NA,NA,88,192,62,136,26,56,"DSM-V, MINI","FEP","Diagnostic","CTQ","CT, EN, PA, EA, PN, SA","Y","no history of any mental disorder or any substances use, be seronegative for HIV/AIDS and syphillis",0.703097511413113,0.231111720963387,1.17557332980424,"N","Case-control",NA,"Y","Y",8,"Good","OR",3,"280",1,"0.314285714",1,"Unadjusted",0.0580492327789365,"EA"
"111","Tamouza et al.","2021","Identification of inflammatory subgroups of schizophrenia and bipolar disorder patients with HERV-W ENV antigenemia by unsupervised cluster analysis",NA,"Case-control",NA,"France","2013 - 2019",61,"29",32,"30.95",11.39,"34.17","11.75","28.03","11.05","20.48",3.9,40,21,20,9,19,13,"DSM-IV","SCZ","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","Absence of any somatic disease, absence of any personal or familial history of psychiatric disorder",1.85785927093258,0.887891257352457,2.82672173081971,"N","Case-control",NA,"N","N",7,"Good","OR",1,"61",1,"0.655737705",1,"Unadjusted",0.244628774784286,"EA"
"112","Whitfield et al.","2005","Adverse childhood experiences and hallucinations","ACE","Cross-sectional",NA,"USA",NA,17337,"347",16990,"57",15.3,NA,NA,NA,NA,NA,NA,7970,9367,NA,NA,NA,NA,"Self-report","Hallucinations","Dimensional","CTS","CT, PA, EA, SA, PS","Y","no hallucinations",0.958068941075399,0.701892330028142,1.21424575639861,"N","Cross-sectional",NA,"Y","Y",7,"Good","OR",1,"17337",1,"0.459710446",1,"Unadjusted",0.0170831185907926,"EA"
"113","Dias et al.","2015","Child maltreatment and psychological symptoms in a Portuguese adult community sample: the harmful effects of emotional abuse","Children of Colonial War: Post Memory and Representations","Cross-sectional",NA,"Portugal","2008-2010",1200,"228",972,"37.43",16.95,NA,NA,NA,NA,NA,NA,648,533,122,102,526,431,"BSI","Psychotism, PI","Dimensional","CTQ-SF","CT, EA,EN,PA,PN,SA","Y",NA,2.4782176616372,1.87640694328834,3.08007342198774,"N","Cross-sectional","CT vs no CT",NA,NA,5,"Fair","Mean_SD",1,"1181",1,"0.548687553",NA,"Unadjusted",0.0942844772975205,"EA"
"114","Bortolon et al.","2017","Exploration of trauma, dissociation, maladaptive schemas and auditory hallucinations in a French sample",NA,"cross-sectional",NA,"France",NA,402,NA,NA,"36.23",15.2,NA,NA,NA,NA,NA,NA,71,331,NA,NA,NA,NA,"The Launay每Slade hallucination scale","Hallucination","Dimensional","CTQ","CT, SA, EN, EA, PN, PA","Y","low score on hallucination",0.943905898907128,0.444685821261446,1.44220199305819,"N","Cross-sectional",NA,"N","N",5,"Fair","OR",1,"402",1,"0.176616915",NA,"Unadjusted",0.0647541722847268,"EA"
"115","Croft et al.","2019","Association of Trauma Type, Age of Exposure, and Frequency in Childhood and Adolescence With Psychotic Experiences in Early Adulthood","ALSPAC","Cohort study",NA,"UK",NA,4433,NA,NA,"17.8",0.38,NA,NA,NA,NA,"18",NA,1929,2504,NA,NA,NA,NA,"PLIKSi","PE","Dimensional","Self-DQ","CT, PA, EA, EN, SA","N","no psychotic experience",0.662687973075237,0.425267735404344,0.900161349944271,"N","Cohort study",NA,"N","Y",12,"Good","OR",1,"3758",1,"0.438265035",NA,"Unadjusted",0.0146764333305652,"EA"
"116","Morgan et al.","2020","Threat, hostility, and violence in childhood and later psychotic disorder: population-based case-control study","CAPsy","Case-control",NA,"UK","2010-2014",675,"374",301,"32.1",10.6,"28.9","8.9","35.1","12.3",NA,NA,382,293,229,145,153,148,"SCAN, ICD-10","FEP, AP","Diagnostic","CECA","CT, PA, EA, SA, BUL, AB","Y","No current or past history of psychiatric disorders",1.37371557891303,0.587786664902119,2.15871472257434,"N","Case-control",NA,"Y","Y",8,"Good","OR",1,"675",1,"0.565925926",1,"Adjusted",0.160598120729763,"EA"
"117","Fisher et al.","2012","Anxiety and negative self schemas mediate the association between childhood maltreatment and paranoia",NA,"Cross-sectional",NA,"UK",NA,212,NA,NA,"27",8.4,NA,NA,NA,NA,NA,NA,73,139,NA,NA,NA,NA,"PSQ","PI","Dimensional","CTQ","PA, EA","N","never diagnosed with psychosis or prescribed anti-psychotic medication.",0.148420005118273,-0.0408219945202552,0.336472236621213,"N","Cross-sectional",NA,"Y","Y",8,"Good","OR",1,"212",1,"0.344339623",1,"Adjusted",0.0092637792100057,"EA"
"118","van Nierop et al.","2014","Psychopathological Mechanisms Linking Childhood Traumatic Experiences to Risk of Psychotic Symptoms: Analysis of a Large, Representative Population-Based Sample","NEMESIS-I, NEMESIS-II","Cohort study",NA,"The Netherlands",NA,13722,"2359",11363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIDI, SCID-I","PEs","Diagnostic","NEMESIS survey(own)","CT, EN, PA, EA, SA, PL","Y",NA,0.246860077931526,0.139761942375159,0.357674444271816,"N","Cross-sectional",NA,"Y","Y",7,"Good","OR",1,"#VALUE!",NA,NA,NA,"Adjusted",0.00309023964512577,"EA"
"119","Rubino et al.","2009","Early adverse experiences in schizophrenia and unipolar depression",NA,"Case-control",NA,"Italy",NA,483,"173",310,"36.97",11.92,"36.2","11.2","37.4","12.3",NA,NA,246,237,111,62,135,175,"DSM-IV, SCID-I","SCZ","Diagnostic","AQ","CT, PA, EA, SA, PL, PS","Y","NR",2.36362098358041,1.46483225547486,3.26240971168597,"N","Case-control",NA,"N","N",7,"Good","OR",1,"483",1,"0.50931677",1,"Unadjusted",0.210282480677218,"EA"
"120","Braehler et al.","2013","Childhood trauma and dissociation in first-episode psychosis, chronic schizophrenia and community controls",NA,"Case-control",NA,"Canada",NA,170,"104",66,"27.1",6.44,"26.59","5.66","27.9","7.4",NA,NA,115,55,77,27,38,28,"SCID, DSM-IV-TR","FEP, SCZ, PSYD, affective psychosis, delusional disorder","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","NR",-0.0919650735444102,-0.803771450791412,0.619841303702592,"N","Case-control",NA,"N","N",7,"Good","OR",1,"170",1,"0.676470588",1,"Unadjusted",0.131889920525172,"EA"
"121","芍lvarez et al.","2015","Cumulative Effects of Childhood Traumas: Polytraumatization, Dissociation, and Schizophrenia",NA,"Case-control",NA,"Spain","2011 - 2012",123,"45",78,NA,NA,"41.1 (95 % CI 38.3每43.9)",NA,"36.1 (95 % CI 33.3每38.9)",NA,NA,NA,59,64,25,20,34,44,"DSM-IV","SCZ, SAD","Diagnostic","CTQ-SF","PA, EA, SA, PN, EN","N","no report of any current or
previous mental disease and/or psychopharmacologic
treatment.",0.378769477644975,-0.398392880876774,1.15593183616673,"N","Case-control",NA,"N","N",5,"Fair","OR",1,"123",1,"0.479674797",1,"Unadjusted",0.15722129620551,"EA"
"122","Barrig車n et al.","2015","Childhood trauma as a risk factor for psychosis: A sib-pair study",NA,"Case-control",NA,"Spain","2003-2009",120,"60",60,NA,NA,"31.1","8.1","32.3","10.6",NA,NA,48,68,27,31,21,37,"DSM-IV, SCID-I","SCZ, SAD, BDP, SPD","Diagnostic","semi-structured interview was designed by others","CT, EA, EN, PA, SA","Y","Free of psychotic symptoms",1.46990850116102,0.395905112805462,2.54391188951659,"N","Case-control",NA,"N","N",7,"Good","OR",1,"116",1,"0.413793103",3,"Unadjusted",0.300261161547071,"EA"
"123","Green et al.","2015","Do common genotypes of FK506 binding protein 5 (FKBP6) moderate the effects of childhood maltreatment on cognition in schizophrenia and healthy controls?","ASRB","Case-control",NA,"Australia","2006-2010",1276,"617",659,"41.11",12.32,"39.65","10.82","42.48","13.58",NA,NA,706,570,415,202,291,368,"DSM-IV, ICD-10","SCZ, SAD","Diagnostic","CAQ","CT, PA, EA, EN, SA, PN","Y","No personal history of DSM-IV axis 1 disorder and psychotic disorder in first degree biological relatives",1.1517416435156,0.866224336706743,1.43725895032445,"N","Case-control",NA,"N","N",7,"Good","OR",1,"1276",1,"0.553291536",1,"Unadjusted",0.021220359352192,"EA"
"124","Jangam et al.","2015","Incidence of childhood abuse among women with psychiatric disorders compared with healthy women: Data from a tertiary care centre in India",NA,"Case-control",NA,"India","2013-2014",196,"96",100,"range 18-50",NA,NA,NA,NA,NA,NA,NA,0,196,0,96,0,100,"Clinian","SCZ","Diagnostic","ICAST-R","PA, EA, SA","N","without psychiatric disorder, and matched",0.525948785340211,-0.154422325792436,1.20631989647286,"N","Case-control",NA,"N","N",6,"Fair","OR",2,"196",1,"0",1,"Unadjusted",0.120497930254028,"EA"
"125","Trauelsen et al.","2015","Childhood adversity specificity and dose-response effect in non-affective first-episode psychosis","OPUS","Case-control",NA,"Denmark","2011-2014",202,"101",101,NA,NA,"22.5 (media)","18-34","22 (median)","18-33",NA,NA,150,52,75,26,75,26,"ICD-10","F20-29, except F21","Diagnostic","CTQ","CT, SA, PA, EA, PN, EN, PL, PS","Y","no any previous psychiatric disorder;gender, age and parental education matched with patients",2.14556862550254,1.48559754208404,2.80553970892105,"N","Case-control",NA,"Y","Y",5,"Fair","OR",1,"202",1,"0.742574257",1,"Unadjusted",0.113380318343554,"EA"
"126","Veling et al.","2016","Childhood trauma, psychosis liability and social stress reactivity: a virtual reality study","VRIPS","Case-Control",NA,"The Netherlands",NA,108,"55",53,"25.27",4.55,"25.95","4.68","24.57","4.41",NA,NA,67,41,42,13,25,28,"DSM-IV","Psychotic disorder","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","a negative history of psychoticdisorder and did not have afirst degree family mem-ber diagnosed with a psychotic disorder.",1.60726163301151,0.024074032593038,3.19044923342997,"N","Case-control",NA,"N","N",8,"Good","OR",1,"108",1,"0.62037037",1,"Unadjusted",0.652458084683148,"EA"
"127","Catalan et al.","2017","Relation between psychotic symptoms, parental care and childhood trauma in severe mental disorders",NA,"Case-control",NA,"Multiple countries","2009-2013",234,"61",173,NA,NA,"36.1","12.5","31.9","11.6",NA,NA,130,104,36,25,94,79,"DSM-IV-TR","FEP","Diagnostic","CTQ-SF","PA, EA, EN, SA, PN","N","did not have first每degree family members with a psychotic disorder.",1.98958521255797,0.771450274027718,3.20772015108823,"N","Case-control",NA,"N","N",8,"Good","OR",1,"234",1,"0.555555556",1,"Unadjusted",0.386259040105194,"EA"
"128","Lange et al.","2017","Modulation of HPA axis response to social stress in schizophrenia by childhood trauma",NA,NA,NA,"Switzerland","2013-2015",50,"25",25,"39.73",12.36,"38.3","13.5","41.16","11.1",NA,NA,34,16,18,7,16,9,"DSM-IV","SCZ, SAD","Diagnostic","CTQ","PA, EA, SA, PN, EN","N","Inclusion criteria for controls were absence of a psychiatric disorder, and of a family history of SSD  ( schizophrenia spectrum disorders).",0.810930216216329,-0.464743897515091,2.08660432994775,"N","Case-control",NA,"N","N",7,"Fair","OR",1,"50",1,"0.68",1,"Unadjusted",0.423611111111111,"EA"
"129","Bruni et al.","2018","Childhood adversities are different in Schizophrenic Spectrum Disorders, Bipolar Disorder and Major Depressive Disorder",NA,"Case-control",NA,"Italy","2015-2017",176,"91",85,"41.94",11.74,"38.8","11.2","45.3","12.3","23.55",6.91,95,81,55,36,40,45,"DSM-IV-TR (SCID-I)","SSD","Diagnostic","CECA-Q","CT, PA, EA, EN, SA, PN, PL, NG","Y","no lifetime presence of schizophrenia spectrum disorder or affective disorders",4.23675814685363,1.42042233350195,7.05309396020531,"N","Case-control",NA,"N","N",9,"Good","OR",1,"176",1,"0.539772727",1,"Unadjusted",2.06469893106187,"EA"
"130","Quid谷 et al.","2018","Schizotypal personality traits and social cognitionare associated with childhood trauma exposure","the Imaging Genetics in Psychosis (IGP) dataset","Case-control",NA,"Australia","2010-2016",154,"79",75,NA,NA,"42.52","11.11","36.13","11.53","22.96",6.82,86,68,45,34,41,34,"ICD-10","SCZ, SAD","Diagnostic","CTQ-25","CT, PA, EA, EN, SA, PN","Y","no mental illness history and no psychotic history",1.27036489411283,0.485689995209025,2.05503979301663,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"154",1,"0.558441558",1,"Unadjusted",0.16027558750773,"EA"
"131","Xie et al.","2018","Prevalence of childhood trauma and correlations between childhood trauma, suicidal ideation, and social support in patients with depression, bipolar disorder, and schizophrenia in southern China",NA,"Case-control",NA,"China","2014 - 2015",348,"216",132,"27.89",7.09,"27.91","8.325","27.86","4.381",NA,NA,162,186,108,108,54,78,"ICD-10","SCZ","Diagnostic","CTQ -SF","CT, PA, EA, EN, SA, PN","Y","No history of psychiatric problems or substance abuse",2.3398144347624,1.14655922070265,3.53306964882215,"N","Case-control",NA,"Y","N",7,"Good","OR",2,"348",1,"0.465517241",1,"Unadjusted",0.370641921564135,"EA"
"132","Devi et al.","2019","The prevalence of childhood trauma in psychiatric outpatients",NA,"Case-control",NA,"Singapore","2015 - 2016",191,"91",100,NA,NA,"27.5","5.46","23.4","5.89",NA,NA,85,106,40,51,45,55,"Diagnozed","SCZ, PSYD","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y",NA,0.548342363150925,-0.20349326362888,1.30017798993073,"N","Case-control",NA,"N","N",8,"Good","OR",1,"191",1,"0.445026178",1,"Unadjusted",0.147140985447569,"EA"
"133","Dou et al.","2020","Research in childhood trauma,neurocognitive function and risk of schizophrenia",NA,"Case-control",NA,"China","2014-2018",287,"146",141,NA,NA,"22.06","7.21","23.33","3.33",NA,NA,126,161,70,76,56,85,"DSM-IV","SCZ","Diagnostic","CTQ","EA, SA, PA, PN, EN","N","No diagnosis of mental disorders",1.29840847598533,0.640340130672498,1.95647682129816,"N","Case-control",NA,"N","N",8,"Good","OR",2,"287",1,"0.43902439",1,"Unadjusted",0.112727495601511,"EA"
"134","du Plessis et al.","2020","Childhood trauma and hippocampal subfield volumes in first-episode schizophrenia and healthy controls","EONKCS","Case-Control",NA,"South Africa","2007-2017",161,"79",82,"23",7,"25.3","7.32","25.2","6.93","25.3",7.2,105,56,58,21,47,35,"DSM-IV-TR, SCID-I","FEP","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","No axis I or II diagnosis aor first degree relative with a known psychotic disorder, no substance dependence/abuse",-0.486953187559509,-1.13093375429802,0.157027379179001,"N","Case-control",NA,"N","N",8,"Good","OR",3,"161",1,"0.652173913",1,"Unadjusted",0.107952668246786,"EA"
"135","Prokopez et al.","2020","The history of multiple adverse childhood experiences in patients with schizophrenia is associated with more severe symptomatology and suicidal behavior with gender-specific characteristics",NA,"Cross-sectional",NA,"Argentina","2017-2018",150,"100",50,"44.55",12.8352,"45.82","12.68","42.02","13.14","23.5448 (pooled)",9.0266,69,81,50,50,19,31,"MINI","SCZ","Diagnostic","ACE-Q","CT, PA, EA, EN, SA, PN, PS","Y","no mental illness and no cognitive impariment",0.965925847509151,0.222121454039352,1.70973024097895,"N","Case-control",NA,"N","N",5,"Fair","OR",2,"150",1,"0.46",1,"Unadjusted",0.144014206514207,"EA"
"136","Chung et al.","2021","Network analysis of trauma in patients with early<U+2011>stage psychosis","KEPS","Case-control",NA,"South Korea",NA,702,"500",202,NA,NA,"28.89","8.54","35.48","11.98",NA,NA,290,412,193,307,97,105,"DSM-IV","FEP","Diagnostic","ETI","CT, PA, EA, SA, AB","Y","NR",1.82909778531873,1.30001360350454,2.35818196713291,"N","Case-control",NA,"N","N",8,"Good","OR",1,"702",1,"0.413105413",1,"Unadjusted",0.0728680943997258,"EA"
"137","Vila-Badia et al.","2022","Prevalence and types of childhood trauma in first episode psychosis patients. Relation with clinical onset variables","PROFEP study","Case-control",NA,"Spain",NA,194,"100",94,NA,NA,"23.51","8.15","24.31","8.37",NA,NA,122,72,70,30,52,42,"Clin","FEP","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","without mental diseases and no family history of the psychotic spectrum",1.42004664792478,0.643102140267839,2.19699115558173,"N","Case-control",NA,"N","N",8,"Good","OR",1,"194",1,"0.628865979",1,"Unadjusted",0.157133165342121,"EA"
"138","Aas et al.","2023","Retrospectively assessed childhood trauma experiences are associated with illness severity in mental disorders adjusted for symptom state","TOP study","Case-control",NA,"Norway","2007 - 2016",908,"461",447,"30.3",8.51,"29.5","9.4","31.1","7.6","23.4",8.1,566,342,283,178,283,164,"DSM-IV","SCZ","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","No history of mental health disorder or 1st degree relative with mental health disorders",2.99419633128473,2.26512226230059,3.72327040026887,"N","Case-control",NA,"Y","Y",10,"Good","OR",1,"908",1,"0.623348018",1,"Unadjusted",0.138366565510488,"EA"
"139","Beasley et al.","2021","Childhood Maltreatment and Psychosis: A Comparative Validity Study of Maltreatment Indices","LONGSCAN","Cohort study","14 years","USA","1991-2012",629,"153",476,"Range : 8-14",NA,NA,NA,NA,NA,NA,NA,314,315,NA,NA,NA,NA,"DISC-IV","PSYS","Diagnostic","Self-Report, NS (AMPS), Register","CT, PA, EA, SA, NG","Y",NA,0.384311562008799,0.0176564177273913,0.750966706290206,"N","Cohort study",NA,"N","Y",9,"Good","OR",1,"629",2,"0.499205087",3,"Unadjusted",0.0349947924895928,"EA"
"140","Brown et al.","2021","Parenting behaviour and paranoia: a network analysis and results from the National Comorbidity Survey<U+2011>Adolescents (NCS<U+2011>A)","National Comorbidity Survey<U+2011>Adolescents","Cross-sectional",NA,"UK",NA,9101,NA,NA,"15.18",1.51,NA,NA,NA,NA,NA,NA,4962,5186,NA,NA,NA,NA,"single-item measure of paranoia","Paranoia","Dimensional","single-item measure of parental behavior","PA, EA","N","without paranoid ideation",0.420421330929208,0.320574712376793,0.520267949481623,"N","Cross-sectional",NA,"N","N",7,"Good","OR",1,"10148",2,"0.488963343",NA,"Unadjusted",0.00259510288326518,"EA"
"141","Brown et al.","2021","Parenting behaviour and paranoia: a network analysis and results from the National Comorbidity Survey<U+2011>Adolescents (NCS<U+2011>A) (Oxfordshire sample)","Oxfordshire Sample","Cross-sectional",NA,"UK",NA,1231,NA,NA,"41.54",15.95,NA,NA,NA,NA,NA,NA,243,781,NA,NA,NA,NA,"Green et al. Paranoid Thoughts Scale〞Part B (GPTS-B)","Paranoia","Dimensional","The Measure of Parenting Style (MOPS)","PA, EA","N","without paranoid ideation",0.624288076231782,0.198450067900464,1.0501260845631,"N","Cross-sectional",NA,"N","N",7,"Good","OR",1,"1024",1,"0.237304688",NA,"Unadjusted",0.0472037716939776,"EA"
"142","<U+015E>ahin et al.","2013","The history of childhood trauma among individuals with ultra high risk for psychosis is as common as among patients with first-episode schizophrenia","Psychotic Disorder Research Program (Istanbul Faculty of Medicine)","Case control",NA,"Turkey",NA,152,"83",69,NA,NA,"23.1",NA,"23.9",NA,NA,NA,89,63,60,23,29,40,"DSM-IV","FES","Diagnostic","CTQ","CT, PA, EA, EN,  SA, PN","Y","no psychiatric disorder diagnosis and no psychotic disorder diagnosed first-degree relatives",1.09627458885416,0.504141874981145,1.68840730272717,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",2,"152",1,"0.585526316",1,"Unadjusted",0.0912695623798984,"EA"
"143","Bortolon et al.","2013","Early maladaptive schemas predict positive symptomatologyin schizophrenia: A cross-sectional study",NA,"Case control",NA,"France",NA,92,"48",44,"36.99",11.88,"37.04","10.28","36.95","13.42",NA,NA,60,32,32,16,28,16,"DSM-IVㄛ SCID","SCZ","Diagnostic","SQ-SF","EA, EN, PS,","N","neither personaln or first degree relative lifetime history of psychosis diagnosis; no positive history of neurological or psychiatric disease or the presence of medication intake known to influence cognition",1.73226308909285,0.949202015090506,2.5153241630952,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"92",1,"0.652173913",1,"Unadjusted",0.159616994381953,"EA"
"144","Pietrek et al.","2013","Childhood adversities in relation to psychiatric disorders",NA,"Case-control",NA,"Germany",NA,118,"33",85,NA,NA,"33","9.2","38.3","14.1",NA,NA,54,64,22,11,32,53,"ICD-10","SCZ","Diagnostic","ETI","PA, SA, EA, PN","N","No current or life-time mental disorders; use of psychoactive medication and neurologicaldisorder in the past",1.22628879086215,0.480537066713003,1.97204051501131,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",1,"118",1,"0.457627119",1,"Unadjusted",0.144769271676237,"EA"
"145","Sayin et al.","2013","Effects of the Adverse Life Events and Disrupted in Schizophrenia-1 (DISC1) Gene Polymorphisms on Acute Symptoms of Schizophrenia",NA,"Case control",NA,"Turkey",NA,200,"100",100,NA,NA,"36.48","11.27","32.45","11.82",NA,NA,114,86,53,47,61,39,"DSM-IV","SCZ","Diagnostic","CTQ","CT, PA, EA, SA, PN, EN","Y","no current psychiatric disorder and no psychotic disorder diagnosed first-degree relatives",0.750831504868699,0.24271598281932,1.25894702691808,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",2,"200",1,"0.57",1,"Unadjusted",0.0672067325456876,"EA"
"146","Sheffield et al.","2013","Childhood sexual abuse increases risk of auditory hallucinationsin psychotic disorders",NA,"Case-control",NA,"USA",NA,195,"114",81,NA,NA,"37.3","12.59","34","11.81",NA,NA,99,96,58,56,41,40,"DSM-IV-TR, SCID","Psychotic disorder","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","No history of psychiatric illness or treatment with psychotropic medication",2.1906891324742,1.63018539488552,2.75119287006288,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"195",1,"0.507692308",1,"Unadjusted",0.0817795813855881,"EA"
"147","Zhao et al.","2013","The relationship between the childhood traumaㄛdream threat level and dysfunctional attitudes in schizophrenia patients",NA,"Case-control",NA,"China","2010-2011",134,"62",72,NA,NA,"30.73","7.86","29.01","8.97",NA,NA,64,70,30,32,34,38,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.76533235480429,1.11414214189522,2.41652256771336,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"134",1,"0.47761194",1,"Unadjusted",0.110383354172365,"EA"
"148","DeRosse et al.","2014","The relation between childhood maltreatment and psychosis in patientswith schizophrenia and non-psychiatric controls",NA,"Case-control",NA,"USA",NA,631,"184",447,NA,NA,"40.98","11.07","41.06","17.06",NA,NA,299,332,127,57,172,275,"DSM-IV","SCZ, SAD","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","No axis I affective or psychotic disorder diagnosis, no history of substance abuse or brain disorder",1.7641317404452,1.4378894219192,2.09037405897119,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"631",1,"0.47385103",1,"Unadjusted",0.0277056566006916,"EA"
"149","Liang et al.","2014","Correlation between childhood trauma experience and eye emotion recognition in schizophrenia",NA,"Case-control",NA,"China","2012-2014",120,"60",60,NA,NA,"32.6","12.3","31.4","11.3",NA,NA,70,50,34,26,36,24,"CCMD-3","SCZ","Diagnostic","Adapted CTQ-25","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.2614713652366,0.593077656734414,1.92986507373878,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"120",1,"0.583333333",1,"Unadjusted",0.116292729478681,"EA"
"150","Ma et al.","2014","The relationship between anhedonia and childhood trauma in schizophrenic patients",NA,"Case-control",NA,"China","2012-2013",469,"198",271,NA,NA,"31.5","9.61","31.82","10.14",NA,NA,230,239,101,97,129,142,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.21848933322116,0.877099846119288,1.55987882032303,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"469",1,"0.490405117",1,"Unadjusted",0.0303380835859226,"EA"
"151","Michail & Birchwood","2014","Social anxiety in first-episode psychosis: The role of childhood trauma and adult attachment",NA,"Case-control",NA,"UK",NA,104,"80",24,NA,NA,"24.1","4.657","24.2","5",NA,NA,64,40,53,27,11,13,"ICD-10","FEP","Diagnostic","CTQ","EA, EN, PA, PN, SA","N","No psychiatric disorders",0.921039617146447,0.0842329487290549,1.75784628556384,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",1,"104",1,"0.615384615",1,"Unadjusted",0.182279623153846,"EA"
